Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Monocultures_AM1_B3_plate3_spike_high_LC1.mzML:scan:554,1,0.98,5,MSV000095423,NoID
-0.99,mzspec:MTBLS307:FILES/Urine_91_Top10_POS.mzXML:scan:4492,1,0.97,2,MTBLS307,NoID
-1,mzspec:MTBLS9737:FILES/DERIVED_FILES/POS/HFX13_1851139_CP_QC3.mzML:scan:878,1,0.97,2,MTBLS9737,NoID
-0.99,mzspec:MTBLS307:FILES/Urine_87_fullscan1_pos.mzXML:scan:3355,1,0.97,2,MTBLS307,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P3_G2_Sample_X3148765_100H2O_spike_high_LC1.mzML:scan:531,1,0.97,5,MSV000095423,NoID
1,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100/Reaction_mix_KV5_LC2.mzML:scan:420,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000082971:ccms_peak/Urine91_Top10_POS.mzML:scan:4492,1,0.97,2,MSV000082971,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P4_D5_Sample_X3143542_100H2O_spike_low_LC1.mzML:scan:558,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:updates/2024-07-24_helenamrusso_d8d86449/peak/LC1_5to100/Reaction_mix_pool_2.mzML:scan:309,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000081022:ccms_peak/peaks/Urine_91_Top10_POS.mzXML:scan:4492,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:ccms_peak/peaks/Urine_87_fullscan1_pos.mzXML:scan:3355,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G86819_1x_RB12_01_23278.mzML:scan:144,1,0.97,2,MSV000084900,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Monocultures_AF2_E9_plate2_spike_high_LC2.mzML:scan:541,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P3_D9_Sample_X3157299_100H2O_spike_high_LC1.mzML:scan:541,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Salmonella_infection_cecum_16_spike_high_LC1.mzML:scan:498,1,0.97,4,MSV000095423,NoID
1.02,mzspec:MTBLS3306:FILES/DERIVED_FILES/POS/PTB2_pos-PTB2.mzML:scan:4294967295,1,0.97,2,MTBLS3306,NoID
-0.99,mzspec:MSV000082971:ccms_peak/Urine61_Top10_POS.mzML:scan:4334,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000082971:ccms_peak/Urine20_Top10_POS.mzML:scan:4452,1,0.97,2,MSV000082971,NoID
-0.99,mzspec:MSV000081022:ccms_peak/peaks/Urine_61_Top10_POS.mzXML:scan:4334,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:ccms_peak/peaks/Urine_20_Top10_POS.mzXML:scan:4452,1,0.97,2,MSV000081022,NoID
-0.99,mzspec:MSV000081022:ccms_peak/peaks/Urine_95_Top10_posneg_pos.mzXML:scan:3204,1,0.97,2,MSV000081022,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Monocultures_AM2_C3_plate3_spike_high_LC2.mzML:scan:544,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/DeadBody_Plate7_45500_Skin_GF4_spike_high_LC2.mzML:scan:497,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Salmonella_infection_cecum_25_spike_low_LC1.mzML:scan:508,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000083528:ccms_peak/Urine_95_Top10_posneg.mzML:scan:3204,1,0.97,2,MSV000083528,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Salmonella_infection_cecum_25_spike_high_LC1.mzML:scan:478,1,0.97,4,MSV000095423,NoID
-1.03,mzspec:MSV000082268:peak/mzxml_files/samples/Plate9_GE9_01_24542.mzXML:scan:298,1,0.97,2,MSV000082268,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate1_43522_Skin_GD2_spike_high_LC1.mzML:scan:481,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Monocultures_CC2_c11_plate3_spike_high_LC1.mzML:scan:558,1,0.97,4,MSV000095423,NoID
-1.03,mzspec:MSV000082268:peak/mzxml_files/samples/Plate10_BB5_01_24613.mzXML:scan:293,1,0.97,2,MSV000082268,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P3_E10_Sample_x3137731_100H2O_spike_low_LC1.mzML:scan:493,1,0.97,4,MSV000095423,NoID
1.03,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Salmonella_infection_cecum_25_spike_high_LC1.mzML:scan:505,1,0.97,5,MSV000095423,NoID
1.03,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Salmonella_infection_cecum_27_spike_high_LC2.mzML:scan:508,1,0.97,5,MSV000095423,NoID
1.03,mzspec:MSV000095423:updates/2024-07-24_helenamrusso_d8d86449/peak/LC1_5to100/Reaction_mix_KV5.mzML:scan:320,1,0.97,5,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate7_45500_Skin_GF4_spike_high_LC1.mzML:scan:469,1,0.97,4,MSV000095423,NoID
1.03,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P3_E10_Sample_x3137731_100H2O_spike_high_LC1.mzML:scan:495,1,0.97,5,MSV000095423,NoID
1.04,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/DeadBody_Plate7_60642_Skin_GA7_spike_high_LC2.mzML:scan:513,1,0.97,5,MSV000095423,NoID
-0.99,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/Italy_2018/MSV000082069_plate_1/G87390_RF4_01_26177.mzML:scan:156,1,0.97,2,MSV000084900,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Salmonella_infection_cecum_16_spike_low_LC2.mzML:scan:537,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000083538:ccms_peak/Urine_StrokeDrugs_08_T10_POS.mzML:scan:5728,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MTBLS8944:FILES/DERIVED_FILES/POS/HF3_CP2_FZTM220104418-2A.mzML:scan:630,1,0.97,2,MTBLS8944,NoID
-1,mzspec:MSV000082069:ccms_peak/data_mzxml/Samples/G87387_RE12_01_26171.mzML:scan:162,1,0.97,2,MSV000082069,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/HNRC_P4_D5_Sample_X3143542_100H2O_spike_low_LC2.mzML:scan:558,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Salmonella_infection_cecum_27_spike_low_LC2.mzML:scan:539,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000083014:peak/Samples/G96259_5x_RB3_01_32331.mzXML:scan:779,1,0.97,2,MSV000083014,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate7_45500_Skin_GF4_spike_low_LC1.mzML:scan:485,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/DeadBody_Plate1_43522_Skin_GD2_spike_high_LC2.mzML:scan:504,1,0.97,4,MSV000095423,NoID
-1,mzspec:MSV000088335:ccms_peak/G87387_RE12_01_26171.mzML:scan:162,1,0.97,2,MSV000088335,NoID
-1.03,mzspec:MSV000082268:peak/mzxml_files/samples/Plate9_GB5_01_24728.mzXML:scan:294,1,0.97,2,MSV000082268,NoID
-1,mzspec:MTBLS3306:FILES/DERIVED_FILES/POS/PCB7_pos-PCB7.mzML:scan:4294967295,1,0.97,2,MTBLS3306,NoID
-0.99,mzspec:MSV000082423:ccms_peak/data_mzxml_turkey/Samples_turkey/G96259_5x_RB3_01_32331.mzML:scan:779,1,0.97,2,MSV000082423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate7_54968_Skin_GA2_spike_high_LC1.mzML:scan:455,1,0.97,4,MSV000095423,NoID
-1,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/Italy_2018/MSV000082069_plate_1/G87387_RE12_01_26171.mzML:scan:162,1,0.97,2,MSV000084900,NoID
1.02,mzspec:MTBLS3306:FILES/DERIVED_FILES/POS/PCD2_pos-PCD2.mzML:scan:4294967295,1,0.97,2,MTBLS3306,NoID
-0.99,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083014_course/G96259_5x_RB3_01_32331.mzML:scan:779,1,0.97,2,MSV000084900,NoID
-0.99,mzspec:ST001353:Ryan_Metabolomics_191018_jdg/processing/Ryan_Metabolomics/MzXML/POS/QE2_jdg_234_Ryan_1[Pooled_Control_Male]p-dd.mzXML:scan:311,1,0.97,2,ST001353,NoID
-0.99,mzspec:MTBLS8944:FILES/DERIVED_FILES/POS/HF3_CP2_FZTM220104418-1A.mzML:scan:652,1,0.97,2,MTBLS8944,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100/Reaction_mix_KV1-C4_LC1.mzML:scan:517,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MTBLS8944:FILES/DERIVED_FILES/POS/HF3_CP2_FZTM220104417-1A.mzML:scan:647,1,0.97,2,MTBLS8944,NoID
-0.99,mzspec:ST002051:Tz_Bz_Comp/0427_PP_Cysten_T1_3.mzML:scan:3858,1,0.97,2,ST002051,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/HNRC_P3_E10_Sample_x3137731_100H2O_spike_high_LC2.mzML:scan:545,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100/Reaction_mix_pool_all_50MeOH_LC2.mzML:scan:423,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P3_D9_Sample_X3157299_100H2O_spike_low_LC1.mzML:scan:562,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MTBLS9737:FILES/DERIVED_FILES/POS/HFX13_CP2_FZTM230061700-1A.mzML:scan:833,1,0.97,2,MTBLS9737,NoID
-0.99,mzspec:MSV000083538:ccms_peak/Urine_StrokeDrugs_28_T10_POS.mzML:scan:5852,1,0.97,2,MSV000083538,NoID
-1,mzspec:MSV000082069:ccms_peak/data_mzxml/Samples/G87341_RF9_01_26183.mzML:scan:762,1,0.97,2,MSV000082069,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/HNRC_P3_G2_Sample_X3148765_100H2O_spike_low_LC1.mzML:scan:524,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000094721:peak/KV_5_ORG_DROP.mzML:scan:315,1,0.97,4,MSV000094721,NoID
-0.99,mzspec:MSV000083526:ccms_peak/Urine_StrokeDrugs_08_T10_POS.mzML:scan:5728,1,0.97,2,MSV000083526,NoID
-0.99,mzspec:MSV000083526:ccms_peak/Urine_StrokeDrugs_28_T10_POS.mzML:scan:5852,1,0.97,2,MSV000083526,NoID
-0.99,mzspec:MSV000088335:ccms_peak/G87390_RF4_01_26177.mzML:scan:156,1,0.97,2,MSV000088335,NoID
-0.99,mzspec:MSV000082074:ccms_peak/Samples/G86819_1x_RB12_01_23278.mzML:scan:144,1,0.97,2,MSV000082074,NoID
-0.99,mzspec:MSV000083010:ccms_peak/Samples/G86819_1x_RB12_01_23278.mzML:scan:144,1,0.97,2,MSV000083010,NoID
-1,mzspec:MSV000082069:ccms_peak/data_mzxml/Controls/Solvent_Blank_1_RA1_01_26066.mzML:scan:567,1,0.97,2,MSV000082069,NoID
-0.99,mzspec:MSV000082069:ccms_peak/data_mzxml/Samples/G87390_RF4_01_26177.mzML:scan:156,1,0.97,2,MSV000082069,NoID
-0.99,mzspec:ST001353:Ryan_Metabolomics_191018_jdg/processing/Ryan_Metabolomics/MzXML/POS/QE2_jdg_234_Ryan_1[Pooled_CKD_Male]p-dd.mzXML:scan:308,1,0.97,2,ST001353,NoID
-1.03,mzspec:MSV000082268:peak/mzxml_files/samples/Plate10_BA7_01_24599.mzXML:scan:308,1,0.97,2,MSV000082268,NoID
-1.03,mzspec:MSV000082268:peak/mzxml_files/samples/Plate7_GG7_01_24336.mzXML:scan:297,1,0.97,2,MSV000082268,NoID
-0.99,mzspec:MSV000095869:peak/Amines_pos/PoolQC003_MX746106_posBA_postThackray0020.mzML:scan:4294967295,1,0.97,2,MSV000095869,NoID
-0.99,mzspec:MTBLS868:FILES/FRAG_POS.mzML:scan:4711,1,0.97,2,MTBLS868,NoID
-0.99,mzspec:MTBLS868:FILES/FRAG_POS.mzXML:scan:4711,1,0.97,2,MTBLS868,NoID
-0.99,mzspec:MTBLS8944:FILES/DERIVED_FILES/POS/HF3_CP2_FZTM220104417-1A.mzML:scan:639,1,0.97,2,MTBLS8944,NoID
-1,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/Italy_2018/MSV000082069_plate_1/G87341_RF9_01_26183.mzML:scan:762,1,0.97,2,MSV000084900,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Monocultures_CC2_c11_plate3_spike_high_LC2.mzML:scan:540,1,0.97,4,MSV000095423,NoID
-0.98,mzspec:MSV000095269:raw/HILIC_pos/240418_M255_01_HILIC_pos_B_sub_3_3.mzXML:scan:2773,1,0.97,2,MSV000095269,NoID
-0.99,mzspec:MTBLS601:FILES/liver24_8.mzXML:scan:11005,1,0.97,3,MTBLS601,NoID
-1,mzspec:MSV000088335:ccms_peak/G87341_RF9_01_26183.mzML:scan:762,1,0.97,2,MSV000088335,NoID
-0.99,mzspec:MSV000082971:ccms_peak/Urine_Hypertension_fragm_study/POS/Urine_95_Top10_posneg.mzML:scan:3204,1,0.97,2,MSV000082971,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Monocultures_AM2_C3_plate3_spike_high_LC1.mzML:scan:503,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000083540:ccms_peak/Urine_95_Top10_posneg.mzML:scan:3204,1,0.97,2,MSV000083540,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/DeadBody_Plate7_45500_Skin_GF4_spike_low_LC2.mzML:scan:543,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000094447:peak/AP_75.mzML:scan:352,1,0.97,4,MSV000094447,NoID
0,mzspec:MSV000095801:raw/Small intestinal liquid (positive ionization mode).mzXML:scan:1195,1,0.97,4,MSV000095801,NoID
0,mzspec:MSV000094135:peak/mzML/A1_QE2.mzML:scan:252,1,0.97,4,MSV000094135,NoID
0,mzspec:MSV000094135:peak/mzML/G2_QE2.mzML:scan:247,1,0.97,3,MSV000094135,NoID
0,mzspec:MSV000095423:updates/2024-07-24_helenamrusso_d8d86449/peak/LC1_5to100/reaction_pool_100H2O.mzML:scan:384,1,0.97,4,MSV000095423,NoID
0.04,mzspec:MTBLS3963:FILES/DERIVED_FILES/POS/Dec-Leu-4_POS.mzML:scan:4294967295,1,0.97,2,MTBLS3963,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Salmonella_infection_cecum_27_spike_high_LC1.mzML:scan:466,1,0.97,4,MSV000095423,NoID
-1,mzspec:MSV000092571:peak/mzML/P7_B3_A41_1_UinvG.mzML:scan:183,1,0.97,4,MSV000092571,NoID
0,mzspec:MSV000083010:ccms_peak/Samples/G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000083010,NoID
-0.99,mzspec:MTBLS307:FILES/Urine_20_Top10_POS.mzXML:scan:4452,1,0.97,2,MTBLS307,NoID
0,mzspec:MSV000082074:ccms_peak/Samples/G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000082074,NoID
0,mzspec:MSV000081657:ccms_peak/data_mzxml/Samples/G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000081657,NoID
0,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G72656_5x_BE3_01_18314.mzML:scan:78,1,0.97,4,MSV000084900,NoID
0,mzspec:MSV000083010:ccms_peak/Samples/G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000083010,NoID
0,mzspec:MSV000082074:ccms_peak/Samples/G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000082074,NoID
0,mzspec:MSV000081657:ccms_peak/data_mzxml/Samples/G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000081657,NoID
0,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G73659_5x_BC7_01_18290.mzML:scan:83,1,0.97,4,MSV000084900,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100/Reaction_mix_KV5_LC1.mzML:scan:408,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100/Reaction_mix_pool_all_100H2O_LC2.mzML:scan:496,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Monocultures_AF2_E9_plate2_spike_high_LC1.mzML:scan:508,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MTBLS307:FILES/Urine_95_Top10_posneg_pos.mzXML:scan:3204,1,0.97,2,MTBLS307,NoID
-0.99,mzspec:MSV000083538:ccms_peak/Urine_StrokeDrugs_17_T10_POS.mzML:scan:5584,1,0.97,2,MSV000083538,NoID
-0.99,mzspec:MTBLS307:FILES/Urine_61_Top10_POS.mzXML:scan:4334,1,0.97,2,MTBLS307,NoID
-0.99,mzspec:MTBLS601:FILES/liver24_7.mzXML:scan:11041,1,0.97,3,MTBLS601,NoID
-0.99,mzspec:MSV000083526:ccms_peak/Urine_StrokeDrugs_17_T10_POS.mzML:scan:5584,1,0.97,2,MSV000083526,NoID
0,mzspec:MSV000094220:peak/CMMC_02012024_C4_0_aminoacids.mzML:scan:184,1,0.97,4,MSV000094220,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate7_54608_Skin_GG3_spike_low_LC1.mzML:scan:534,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/HNRC_P3_G2_Sample_X3148765_100H2O_spike_low_LC2.mzML:scan:562,1,0.97,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Monocultures_CC1_B11_plate3_spike_high_LC2.mzML:scan:547,1,0.97,4,MSV000095423,NoID
-0.99,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/Italy_2018/MSV000082069_plate_1/G87323_RB5_01_26085.mzML:scan:47,1,0.96,2,MSV000084900,NoID
-0.99,mzspec:MSV000090773:peak/B1_EC_P_POS_QC_Cond_MSMS_AutoMSMS_3.mzML:scan:4294967295,1,0.96,2,MSV000090773,NoID
0,mzspec:MSV000083010:ccms_peak/Samples/G73659_5x_BC7_01_18290.mzML:scan:77,1,0.96,4,MSV000083010,NoID
-0.99,mzspec:ST002051:Tz_Bz_Comp/0424_PP_Tachy_Tubes_1.mzML:scan:5490,1,0.96,2,ST002051,NoID
0,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G73649_5x_BA8_01_18263.mzML:scan:84,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G72668_5x_BH6_01_18404.mzML:scan:78,1,0.96,4,MSV000084900,NoID
-1,mzspec:ST003483:Extracellular/d14-B2.mzXML:scan:3460,1,0.96,2,ST003483,NoID
0,mzspec:MSV000082074:ccms_peak/Samples/G72668_5x_BH6_01_18404.mzML:scan:78,1,0.96,4,MSV000082074,NoID
-1,mzspec:MSV000095220:peak/Gly_reaction.mzML:scan:161,1,0.96,2,MSV000095220,NoID
-1.03,mzspec:MSV000082268:peak/mzxml_files/samples/Plate9_GE9_01_24542.mzXML:scan:307,1,0.96,2,MSV000082268,NoID
-0.99,mzspec:MSV000088335:ccms_peak/G87341_RF9_01_26183.mzML:scan:1103,1,0.96,2,MSV000088335,NoID
0,mzspec:MSV000081657:ccms_peak/data_mzxml/Samples/G72668_5x_BH6_01_18404.mzML:scan:78,1,0.96,4,MSV000081657,NoID
0,mzspec:MSV000081657:ccms_peak/data_mzxml/Samples/G73649_5x_BA8_01_18263.mzML:scan:84,1,0.96,4,MSV000081657,NoID
0.04,mzspec:MSV000080930:raw/raw/MTBLS126/Mouse 22 Dorsal skin EtOH RESV POS.mzML:scan:298,1,0.96,2,MSV000080930,NoID
0.04,mzspec:MTBLS126:FILES/Mouse 22 Dorsal skin EtOH RESV POS.mzML:scan:298,1,0.96,2,MTBLS126,NoID
-0.99,mzspec:MSV000082069:ccms_peak/data_mzxml/Samples/G87323_RB5_01_26085.mzML:scan:47,1,0.96,2,MSV000082069,NoID
0,mzspec:MSV000081657:ccms_peak/data_mzxml/Samples/G73659_5x_BC7_01_18290.mzML:scan:77,1,0.96,4,MSV000081657,NoID
0,mzspec:MSV000082074:ccms_peak/Samples/G73659_5x_BC7_01_18290.mzML:scan:77,1,0.96,4,MSV000082074,NoID
-0.99,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/Italy_2018/MSV000082069_plate_1/G87341_RF9_01_26183.mzML:scan:1103,1,0.96,2,MSV000084900,NoID
-0.98,mzspec:MSV000095654:raw/mzml/Cecum_35_HILICpos.mzML:scan:11089,1,0.96,4,MSV000095654,NoID
-0.99,mzspec:MSV000095220:peak/Tau_reaction.mzML:scan:281,1,0.96,2,MSV000095220,NoID
0,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G86734_1x_BD7_01_23172.mzML:scan:81,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000082074:ccms_peak/Samples/G86734_1x_BD7_01_23172.mzML:scan:81,1,0.96,4,MSV000082074,NoID
-0.99,mzspec:MTBLS3963:FILES/DERIVED_FILES/POS/Dec-Arg-1_POS.mzML:scan:4294967295,1,0.96,2,MTBLS3963,NoID
0,mzspec:MSV000083010:ccms_peak/Samples/G86734_1x_BD7_01_23172.mzML:scan:81,1,0.96,4,MSV000083010,NoID
-0.99,mzspec:ST002051:Tz_Bz_Comp/0424_PP_Tachy_Tubes_2.mzML:scan:5502,1,0.96,2,ST002051,NoID
-0.99,mzspec:ST002051:Tz_Bz_Comp/0424_PP_Tachy_Tubes_T1_4.mzML:scan:5438,1,0.96,2,ST002051,NoID
-0.99,mzspec:ST002051:Tz_Bz_Comp/0427_PP_Tachy_Tubes_3.mzML:scan:5542,1,0.96,2,ST002051,NoID
0,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G86807_1x_BF8_01_23204.mzML:scan:77,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000082074:ccms_peak/Samples/G86807_1x_BF8_01_23204.mzML:scan:77,1,0.96,4,MSV000082074,NoID
0,mzspec:MSV000083010:ccms_peak/Samples/G86807_1x_BF8_01_23204.mzML:scan:77,1,0.96,4,MSV000083010,NoID
-0.99,mzspec:MTBLS868:FILES/FRAG_POS.mzXML:scan:3801,1,0.96,2,MTBLS868,NoID
-0.99,mzspec:MTBLS868:FILES/FRAG_POS.mzML:scan:3801,1,0.96,2,MTBLS868,NoID
-1,mzspec:MSV000092571:peak/mzML/P8_A7_A95_2_UinvG.mzML:scan:181,1,0.96,4,MSV000092571,NoID
