Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:329190,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:385609,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000086178:ccms_peak/208.mzML:scan:2107,1,0.94,11,MSV000086178,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-5.mzML:scan:2574,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:417976,1,0.94,10,MSV000091795,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_13.mzXML:scan:6598,1,0.94,12,ST002338,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:326742,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-19.mzML:scan:2581,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Feces/Sample-2C5.mzML:scan:2639,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-20.mzML:scan:2628,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000090950:peak/Data_mzML/P2_D10_216_T1.mzML:scan:2909,1,0.94,10,MSV000090950,NoID
0,mzspec:MSV000086178:peak/mzML/208.mzML:scan:2107,1,0.94,11,MSV000086178,NoID
0,mzspec:MSV000090950:peak/Data_mzML/P2_A7_101_T1.mzML:scan:2903,1,0.94,10,MSV000090950,NoID
0,mzspec:MSV000079134:updates/2016-11-21_negarg_3e021a74/peak/mzXML_Batch2_November2016/Data_Batch2_November2016/9_10_Fe_GF3_01_31027.mzXML:scan:2392,1,0.94,12,MSV000079134,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:237220,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000079134:updates/2016-11-21_negarg_3e021a74/peak/mzXML_Batch2_November2016/Data_Batch2_November2016/9_9_Fe_GF2_01_31026.mzXML:scan:2250,1,0.94,11,MSV000079134,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ101.mzXML:scan:2043,1,0.94,11,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:329912,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:225255,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ39.mzXML:scan:2074,1,0.94,10,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328108,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Feces/Sample-1E4.mzML:scan:2605,1,0.94,9,MSV000086131,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_4/13_33.mzML:scan:2081,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_6/24_25.mzML:scan:2102,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:335306,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000082049:peak/Plate_4/13_33.mzML:scan:2081,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000082049:peak/Plate_6/24_25.mzML:scan:2102,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328964,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:232567,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:334024,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:333631,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:333590,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:332932,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ34.mzXML:scan:2075,1,0.94,11,MSV000081343,NoID
0,mzspec:MSV000082049:peak/Plate_12/19_33.mzML:scan:2037,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000082049:peak/Plate_11/18_31.mzML:scan:2052,1,0.94,10,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:326440,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_11/18_31.mzML:scan:2052,1,0.94,10,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:330807,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:438380,1,0.94,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:327876,1,0.94,9,MSV000091795,NoID
-0.01,mzspec:MSV000084908:ccms_peak/Fecal_mzXML/Plate_01/FIT012E3CAL_BB3_01_51865.mzML:scan:2730,1,0.94,12,MSV000084908,NoID
0,mzspec:MSV000082802:ccms_peak/mzXML_Data/Phenalanocholic_acid_24hr_A_BE4_01_15369.mzML:scan:2616,1,0.94,12,MSV000082802,NoID
0,mzspec:MSV000082049:peak/Plate_4/13_34.mzML:scan:2084,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_6/24_32.mzML:scan:2065,1,0.94,10,MSV000082049,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_43.mzXML:scan:6614,1,0.94,11,ST002338,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_4/23_31.mzML:scan:2058,1,0.94,10,MSV000082049,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_12/19_33.mzML:scan:2037,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_4/13_34.mzML:scan:2084,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000082049:peak/Plate_4/23_31.mzML:scan:2058,1,0.94,10,MSV000082049,NoID
0,mzspec:MSV000081351:ccms_peak/mzXML_Files/Rhee_2/38954.mzXML:scan:2249,1,0.94,12,MSV000081351,NoID
0,mzspec:MSV000082049:peak/Plate_6/24_32.mzML:scan:2065,1,0.94,10,MSV000082049,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-1.mzML:scan:2605,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000094447:peak/B3_CA_aminoacids.mzML:scan:3229,1,0.94,11,MSV000094447,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:332128,1,0.94,10,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-27.mzML:scan:2576,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-29.mzML:scan:2670,1,0.94,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-9.mzML:scan:2592,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000082049:peak/Plate_6/24_26.mzML:scan:2108,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-33.mzML:scan:2581,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_6/24_26.mzML:scan:2108,1,0.94,11,MSV000082049,NoID
0,mzspec:MSV000083004:ccms_peak/Bile_acid_gavage_experiment/PD8_13_BH9_01_16784.mzML:scan:2402,1,0.94,11,MSV000083004,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_51.mzXML:scan:6574,1,0.93,12,ST002338,NoID
0,mzspec:MSV000087523:ccms_peak/pos QE/19A.mzML:scan:2631,1,0.93,10,MSV000087523,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:334071,1,0.93,10,MSV000091795,NoID
0,mzspec:MSV000088735:ccms_peak/Plate_01/IFXI10-D4-AV-STWK14.mzML:scan:1668,1,0.93,12,MSV000088735,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:381673,1,0.93,10,MSV000091795,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_37.mzXML:scan:6521,1,0.93,11,ST002338,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_35.mzXML:scan:6604,1,0.93,11,ST002338,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:331887,1,0.93,9,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:422863,1,0.93,10,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ452.mzXML:scan:2064,1,0.93,10,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:230462,1,0.93,10,MSV000091795,NoID
0,mzspec:MSV000082802:ccms_peak/mzXML_Data/Phenalanocholic_acid_00hr_C_GE3_01_15354.mzML:scan:2616,1,0.93,11,MSV000082802,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_39.mzXML:scan:6603,1,0.93,10,ST002338,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ40.mzXML:scan:2051,1,0.93,11,MSV000081343,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_8/16_34.mzML:scan:2049,1,0.93,10,MSV000082049,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-14.mzML:scan:2622,1,0.93,9,MSV000086131,NoID
